,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4413,0.646,0.962,9,-4.862,1,0.0536,0.138,0.0,0.471,0.961,164.79,audio_features,41kg2RvdwBuIv0OPpvBS4v,spotify:track:41kg2RvdwBuIv0OPpvBS4v,https://api.spotify.com/v1/tracks/41kg2RvdwBuIv0OPpvBS4v,https://api.spotify.com/v1/audio-analysis/41kg2RvdwBuIv0OPpvBS4v,144333,4
4414,0.297,0.327,9,-14.417,1,0.0482,0.673,0.905,0.0786,0.334,130.852,audio_features,6p9UFDNfGrzS5Byd2r9KPk,spotify:track:6p9UFDNfGrzS5Byd2r9KPk,https://api.spotify.com/v1/tracks/6p9UFDNfGrzS5Byd2r9KPk,https://api.spotify.com/v1/audio-analysis/6p9UFDNfGrzS5Byd2r9KPk,327987,4
4415,0.241,0.604,7,-3.817,1,0.0313,0.0672,4.98e-05,0.0541,0.417,173.134,audio_features,0MRs5O62wfDgf5cQKalrPq,spotify:track:0MRs5O62wfDgf5cQKalrPq,https://api.spotify.com/v1/tracks/0MRs5O62wfDgf5cQKalrPq,https://api.spotify.com/v1/audio-analysis/0MRs5O62wfDgf5cQKalrPq,190600,4
4416,0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,0.769,115.047,audio_features,3BpUZB0tw4zNmG3Iw1mclL,spotify:track:3BpUZB0tw4zNmG3Iw1mclL,https://api.spotify.com/v1/tracks/3BpUZB0tw4zNmG3Iw1mclL,https://api.spotify.com/v1/audio-analysis/3BpUZB0tw4zNmG3Iw1mclL,194009,4
4417,0.42,0.662,4,-9.828,0,0.0341,0.656,0.000423,0.096,0.378,147.949,audio_features,6KCjY5kHvgWaWcAV6BBzxO,spotify:track:6KCjY5kHvgWaWcAV6BBzxO,https://api.spotify.com/v1/tracks/6KCjY5kHvgWaWcAV6BBzxO,https://api.spotify.com/v1/audio-analysis/6KCjY5kHvgWaWcAV6BBzxO,351678,4
4418,0.435,0.618,4,-11.391,0,0.0324,0.0601,0.00282,0.167,0.695,129.911,audio_features,6Jp0GuFxAYbTdre1uUPgaB,spotify:track:6Jp0GuFxAYbTdre1uUPgaB,https://api.spotify.com/v1/tracks/6Jp0GuFxAYbTdre1uUPgaB,https://api.spotify.com/v1/audio-analysis/6Jp0GuFxAYbTdre1uUPgaB,517160,4
4419,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,audio_features,3B0ms7Xlxl16tRztKHpcu9,spotify:track:3B0ms7Xlxl16tRztKHpcu9,https://api.spotify.com/v1/tracks/3B0ms7Xlxl16tRztKHpcu9,https://api.spotify.com/v1/audio-analysis/3B0ms7Xlxl16tRztKHpcu9,205480,4
4420,0.719,0.239,3,-15.223,1,0.0419,0.755,0.0,0.122,0.774,106.409,audio_features,2C7A6Q8Im35rnZaOdt5jr8,spotify:track:2C7A6Q8Im35rnZaOdt5jr8,https://api.spotify.com/v1/tracks/2C7A6Q8Im35rnZaOdt5jr8,https://api.spotify.com/v1/audio-analysis/2C7A6Q8Im35rnZaOdt5jr8,150067,4
4421,0.739,0.325,2,-10.697,1,0.0447,0.971,0.00382,0.156,0.884,128.651,audio_features,6jETyB6AqMqfRsITWmBoHN,spotify:track:6jETyB6AqMqfRsITWmBoHN,https://api.spotify.com/v1/tracks/6jETyB6AqMqfRsITWmBoHN,https://api.spotify.com/v1/audio-analysis/6jETyB6AqMqfRsITWmBoHN,162640,4
4422,0.814,0.481,0,-5.183,1,0.245,0.097,3.83e-05,0.0495,0.193,96.252,audio_features,3ABG1UQTk0eLYUAeWkmfMi,spotify:track:3ABG1UQTk0eLYUAeWkmfMi,https://api.spotify.com/v1/tracks/3ABG1UQTk0eLYUAeWkmfMi,https://api.spotify.com/v1/audio-analysis/3ABG1UQTk0eLYUAeWkmfMi,161400,4
4423,0.623,0.947,9,-3.934,1,0.103,0.00386,0.00575,0.582,0.684,146.318,audio_features,5Pdd4QCr0rREXM03zBM2Eh,spotify:track:5Pdd4QCr0rREXM03zBM2Eh,https://api.spotify.com/v1/tracks/5Pdd4QCr0rREXM03zBM2Eh,https://api.spotify.com/v1/audio-analysis/5Pdd4QCr0rREXM03zBM2Eh,211813,4
4424,0.338,0.794,0,-7.015,0,0.0432,0.0181,0.482,0.192,0.879,168.48,audio_features,3URfn21oTyGF6rIuhHsBJw,spotify:track:3URfn21oTyGF6rIuhHsBJw,https://api.spotify.com/v1/tracks/3URfn21oTyGF6rIuhHsBJw,https://api.spotify.com/v1/audio-analysis/3URfn21oTyGF6rIuhHsBJw,137145,4
4425,0.437,0.526,11,-5.876,0,0.174,0.643,0.0,0.325,0.394,76.161,audio_features,44s8AnWjkj68J5N9JKX8Zw,spotify:track:44s8AnWjkj68J5N9JKX8Zw,https://api.spotify.com/v1/tracks/44s8AnWjkj68J5N9JKX8Zw,https://api.spotify.com/v1/audio-analysis/44s8AnWjkj68J5N9JKX8Zw,319959,4
4426,0.616,0.629,8,-6.9,1,0.0263,0.0285,1.32e-06,0.208,0.606,94.004,audio_features,0wb21I1NV5uVUolRXIqlJF,spotify:track:0wb21I1NV5uVUolRXIqlJF,https://api.spotify.com/v1/tracks/0wb21I1NV5uVUolRXIqlJF,https://api.spotify.com/v1/audio-analysis/0wb21I1NV5uVUolRXIqlJF,143213,4
4427,0.37,0.141,7,-14.082,1,0.039,0.968,1.59e-06,0.338,0.303,66.305,audio_features,1nz7qrpaifFdBUp22qde4O,spotify:track:1nz7qrpaifFdBUp22qde4O,https://api.spotify.com/v1/tracks/1nz7qrpaifFdBUp22qde4O,https://api.spotify.com/v1/audio-analysis/1nz7qrpaifFdBUp22qde4O,159520,3
4428,0.739,0.639,2,-6.959,1,0.358,0.000918,2.74e-05,0.352,0.323,91.121,audio_features,3glqlA5qY3bbo8UaUDGPnw,spotify:track:3glqlA5qY3bbo8UaUDGPnw,https://api.spotify.com/v1/tracks/3glqlA5qY3bbo8UaUDGPnw,https://api.spotify.com/v1/audio-analysis/3glqlA5qY3bbo8UaUDGPnw,338187,4
4429,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,audio_features,7DH5dXVuQaqcKf9oTy9oUN,spotify:track:7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/tracks/7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/audio-analysis/7DH5dXVuQaqcKf9oTy9oUN,138640,3
4430,0.541,0.436,9,-14.915,1,0.0635,0.652,0.854,0.177,0.393,118.157,audio_features,6pBW51JXG9rpwv964FWJUf,spotify:track:6pBW51JXG9rpwv964FWJUf,https://api.spotify.com/v1/tracks/6pBW51JXG9rpwv964FWJUf,https://api.spotify.com/v1/audio-analysis/6pBW51JXG9rpwv964FWJUf,1257467,4
