,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,speechiness_binned,danceability_binned,instrumentalness_binned
971,0.653,0.76,11,-6.086,1,0.0479,0.475,0.000129,0.0917,0.6,98.008,audio_features,39exKIvycQDgs4T6uXdyu0,spotify:track:39exKIvycQDgs4T6uXdyu0,https://api.spotify.com/v1/tracks/39exKIvycQDgs4T6uXdyu0,https://api.spotify.com/v1/audio-analysis/39exKIvycQDgs4T6uXdyu0,308733,4,0,1,0
972,0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608,audio_features,01SfTM5nfCou5gQL70r6gs,spotify:track:01SfTM5nfCou5gQL70r6gs,https://api.spotify.com/v1/tracks/01SfTM5nfCou5gQL70r6gs,https://api.spotify.com/v1/audio-analysis/01SfTM5nfCou5gQL70r6gs,91760,4,0,1,0
973,0.629,0.851,5,-11.182,0,0.0294,0.0309,0.303,0.0947,0.961,130.7,audio_features,0RnCUYXa7jhgTXtiMXF2PQ,spotify:track:0RnCUYXa7jhgTXtiMXF2PQ,https://api.spotify.com/v1/tracks/0RnCUYXa7jhgTXtiMXF2PQ,https://api.spotify.com/v1/audio-analysis/0RnCUYXa7jhgTXtiMXF2PQ,400116,4,0,1,0
974,0.475,0.43200000000000005,7,-7.843999999999999,1,0.0302,0.183,0.0,0.161,0.648,94.605,audio_features,6ORqU0bHbVCRjXm9AjyHyZ,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/audio-analysis/6ORqU0bHbVCRjXm9AjyHyZ,153467,4,0,1,0
975,0.63,0.6970000000000001,6,-10.654000000000002,1,0.0311,0.18899999999999997,0.000258,0.11599999999999999,0.7959999999999999,124.956,audio_features,5yMXAaSvxo12QkYU75Ixv0,spotify:track:5yMXAaSvxo12QkYU75Ixv0,https://api.spotify.com/v1/tracks/5yMXAaSvxo12QkYU75Ixv0,https://api.spotify.com/v1/audio-analysis/5yMXAaSvxo12QkYU75Ixv0,231933,4,0,1,0
976,0.35,0.27,6,-14.618,0,0.0303,0.728,0.0223,0.21,0.0583,109.835,audio_features,3W7EacBnuaLwWi0nVZslTe,spotify:track:3W7EacBnuaLwWi0nVZslTe,https://api.spotify.com/v1/tracks/3W7EacBnuaLwWi0nVZslTe,https://api.spotify.com/v1/audio-analysis/3W7EacBnuaLwWi0nVZslTe,391440,4,0,1,0
977,0.44,0.682,4,-7.416,1,0.0373,0.6809999999999999,3.3299999999999996e-05,0.207,0.626,135.917,audio_features,5usNPz6U1acDrkUYekGYDY,spotify:track:5usNPz6U1acDrkUYekGYDY,https://api.spotify.com/v1/tracks/5usNPz6U1acDrkUYekGYDY,https://api.spotify.com/v1/audio-analysis/5usNPz6U1acDrkUYekGYDY,158853,4,0,1,0
978,0.584,0.526,9,-10.08,0,0.0391,0.475,6.52e-05,0.0756,0.6409999999999999,82.02799999999999,audio_features,4gvV5Ib89fiwMtQ4biQQjd,spotify:track:4gvV5Ib89fiwMtQ4biQQjd,https://api.spotify.com/v1/tracks/4gvV5Ib89fiwMtQ4biQQjd,https://api.spotify.com/v1/audio-analysis/4gvV5Ib89fiwMtQ4biQQjd,204187,4,0,1,0
979,0.5529999999999999,0.5760000000000001,0,-13.458,1,0.0304,0.191,0.006640000000000001,0.0365,0.457,109.82700000000001,audio_features,3Xls4cNOwy01dtrNXb1inG,spotify:track:3Xls4cNOwy01dtrNXb1inG,https://api.spotify.com/v1/tracks/3Xls4cNOwy01dtrNXb1inG,https://api.spotify.com/v1/audio-analysis/3Xls4cNOwy01dtrNXb1inG,298333,4,0,1,0
980,0.855,0.48,1,-8.902000000000001,1,0.0588,0.254,2.1600000000000003e-05,0.151,0.7979999999999999,97.79299999999999,audio_features,3ErsOxqe2RmXkR65wkygDz,spotify:track:3ErsOxqe2RmXkR65wkygDz,https://api.spotify.com/v1/tracks/3ErsOxqe2RmXkR65wkygDz,https://api.spotify.com/v1/audio-analysis/3ErsOxqe2RmXkR65wkygDz,230240,4,0,2,0
